transaction_month,state,category,age_bucket,amount_bucket,total_transactions,total_revenue,total_profit,avg_transaction_value,unique_customers
2016-09,Indiana,Office Supplies,25-34,Low (<50),1,33.4,12.36,33.4,1
2016-09,Indiana,Office Supplies,60+,Low (<50),1,35.88,16.15,35.88,1
2016-09,Iowa,Office Supplies,35-44,Low (<50),1,9.99,4.5,9.99,1
2016-09,Iowa,Technology,25-34,Medium (50-500),1,278.4,80.74,278.4,1
2016-09,Kansas,Office Supplies,60+,Medium (50-500),1,107.94,26.98,107.94,1
2016-09,Kansas,Technology,18-24,Medium (50-500),1,224.75,62.93,224.75,1
2016-09,Kentucky,Furniture,18-24,Low (<50),1,13.28,6.37,13.28,1
2016-09,Kentucky,Furniture,45-59,Low (<50),1,42.6,16.61,42.6,1
2016-09,Kentucky,Office Supplies,45-59,Low (<50),1,5.28,2.53,5.28,1
2016-09,Kentucky,Office Supplies,45-59,Medium (50-500),2,243.86,59.89,121.93,1
2016-09,Louisiana,Office Supplies,60+,Medium (50-500),1,87.28,41.02,87.28,1
2016-09,Maine,Furniture,60+,Medium (50-500),1,109.48,33.94,109.48,1
2016-09,Maine,Technology,60+,Medium (50-500),1,437.85,131.35,437.85,1
2016-09,Maryland,Furniture,60+,Low (<50),1,14.76,4.28,14.76,1
2016-09,Maryland,Furniture,60+,Medium (50-500),1,344.94,31.04,344.94,1
2016-09,Maryland,Office Supplies,60+,Low (<50),1,12.76,5.87,12.76,1
2016-09,Maryland,Office Supplies,60+,Medium (50-500),1,58.48,27.49,58.48,1
2016-09,Massachusetts,Furniture,45-59,Low (<50),1,14.82,6.22,14.82,1
2016-09,Massachusetts,Furniture,45-59,Medium (50-500),2,365.76,75.3,182.88,2
2016-09,Massachusetts,Office Supplies,45-59,Low (<50),1,14.76,6.94,14.76,1
2016-09,Michigan,Furniture,35-44,Low (<50),1,12.22,3.67,12.22,1
2016-09,Michigan,Furniture,35-44,Medium (50-500),1,242.94,29.15,242.94,1
2016-09,Michigan,Office Supplies,25-34,Medium (50-500),1,68.52,31.52,68.52,1
2016-09,Michigan,Office Supplies,35-44,Low (<50),1,22.05,10.58,22.05,1
2016-09,Michigan,Office Supplies,35-44,Medium (50-500),3,357.25,85.99,119.08,1
2016-09,Michigan,Office Supplies,45-59,Low (<50),5,127.54,57.93,25.51,2
2016-09,Michigan,Office Supplies,45-59,Medium (50-500),1,376.74,71.16,376.74,1
2016-09,Michigan,Office Supplies,60+,Medium (50-500),1,83.7,41.01,83.7,1
2016-09,Michigan,Technology,45-59,Low (<50),1,8.78,2.28,8.78,1
2016-09,Michigan,Technology,45-59,Medium (50-500),1,97.98,27.43,97.98,1
2016-09,Minnesota,Office Supplies,25-34,Medium (50-500),1,77.88,22.59,77.88,1
2016-09,Minnesota,Office Supplies,45-59,High (500-1500),1,535.41,160.62,535.41,1
2016-09,Missouri,Office Supplies,25-34,Low (<50),1,16.56,7.78,16.56,1
2016-09,Missouri,Technology,25-34,Medium (50-500),1,279.95,67.19,279.95,1
2016-09,Nebraska,Furniture,35-44,High (500-1500),1,1336.44,387.57,1336.44,1
2016-09,Nebraska,Office Supplies,35-44,Low (<50),5,107.29,29.63,21.46,1
2016-09,Nebraska,Office Supplies,35-44,Medium (50-500),2,751.08,236.81,375.54,1
2016-09,Nebraska,Technology,35-44,Low (<50),1,29.97,0.3,29.97,1
2016-09,Nebraska,Technology,35-44,Medium (50-500),1,149.95,41.99,149.95,1
2016-09,New Jersey,Office Supplies,45-59,Low (<50),2,53.37,20.82,26.68,1
2016-09,New York,Furniture,35-44,High (500-1500),2,1155.7,114.2,577.85,2
2016-09,New York,Furniture,35-44,Low (<50),1,40.48,14.57,40.48,1
2016-09,New York,Furniture,35-44,Medium (50-500),1,60.72,26.11,60.72,1
2016-09,New York,Furniture,45-59,Low (<50),1,39.98,9.99,39.98,1
2016-09,New York,Furniture,45-59,Medium (50-500),1,191.82,61.38,191.82,1
2016-09,New York,Furniture,60+,High (500-1500),1,722.35,90.29,722.35,1
2016-09,New York,Furniture,60+,Medium (50-500),1,63.94,24.94,63.94,1
2016-09,New York,Office Supplies,18-24,High (500-1500),1,841.57,294.55,841.57,1
2016-09,New York,Office Supplies,25-34,Medium (50-500),1,192.16,92.24,192.16,1
2016-09,New York,Office Supplies,35-44,Medium (50-500),3,833.13,270.45,277.71,3
2016-09,New York,Office Supplies,45-59,Low (<50),5,47.41,17.26,9.48,5
2016-09,New York,Office Supplies,45-59,Medium (50-500),3,263.3,65.77,87.77,3
2016-09,New York,Office Supplies,60+,High (500-1500),1,673.57,252.59,673.57,1
2016-09,New York,Office Supplies,60+,Low (<50),4,99.45,42.29,24.86,2
2016-09,New York,Office Supplies,60+,Medium (50-500),1,60.6,20.45,60.6,1
2016-09,New York,Office Supplies,60+,Very High (1500+),1,4355.17,1415.43,4355.17,1
2016-09,New York,Technology,35-44,Low (<50),1,43.6,12.21,43.6,1
2016-09,New York,Technology,45-59,Medium (50-500),2,541.38,236.76,270.69,1
2016-09,New York,Technology,60+,Low (<50),2,38.65,13.46,19.32,2
2016-09,New York,Technology,60+,Medium (50-500),1,437.85,131.35,437.85,1
2016-09,North Carolina,Furniture,35-44,Low (<50),1,17.09,1.07,17.09,1
2016-09,North Carolina,Furniture,35-44,Medium (50-500),1,98.39,-11.07,98.39,1
2016-09,North Carolina,Furniture,60+,Medium (50-500),1,472.52,-149.63,472.52,1
2016-09,North Carolina,Office Supplies,18-24,Medium (50-500),1,64.7,23.46,64.7,1
2016-09,North Carolina,Office Supplies,60+,Low (<50),4,62.79,-29.24,15.7,2
2016-09,North Carolina,Office Supplies,60+,Medium (50-500),2,405.41,64.8,202.7,2
2016-09,North Carolina,Technology,18-24,Low (<50),1,35.17,8.35,35.17,1
2016-09,North Carolina,Technology,60+,High (500-1500),1,1012.68,303.8,1012.68,1
2016-09,Ohio,Furniture,18-24,High (500-1500),1,532.7,-26.64,532.7,1
2016-09,Ohio,Furniture,35-44,Low (<50),1,5.35,1.61,5.35,1
2016-09,Ohio,Furniture,35-44,Medium (50-500),2,254.74,-20.42,127.37,2
2016-09,Ohio,Furniture,60+,Low (<50),1,28.0,7.7,28.0,1
2016-09,Ohio,Furniture,60+,Medium (50-500),1,85.25,-1.22,85.25,1
2016-09,Ohio,Office Supplies,18-24,Low (<50),2,7.82,-1.73,3.91,2
2016-09,Ohio,Office Supplies,25-34,Low (<50),1,30.96,11.22,30.96,1
2016-09,Ohio,Office Supplies,35-44,Low (<50),1,2.67,0.37,2.67,1
2016-09,Ohio,Office Supplies,35-44,Medium (50-500),1,63.97,19.99,63.97,1
2016-09,Ohio,Office Supplies,45-59,Low (<50),1,24.22,-4.84,24.22,1
2016-09,Ohio,Office Supplies,45-59,Medium (50-500),3,913.19,-127.77,304.4,2
2016-09,Ohio,Office Supplies,60+,Low (<50),6,101.91,-33.87,16.98,3
2016-09,Oklahoma,Office Supplies,60+,Low (<50),2,12.86,6.05,6.43,1
2016-09,Oregon,Office Supplies,60+,Low (<50),1,5.02,-3.52,5.02,1
2016-09,Oregon,Office Supplies,60+,Medium (50-500),1,60.05,22.52,60.05,1
2016-09,Oregon,Technology,60+,High (500-1500),1,859.2,75.18,859.2,1
2016-09,Pennsylvania,Furniture,35-44,Medium (50-500),1,82.8,10.35,82.8,1
2016-09,Pennsylvania,Furniture,45-59,Low (<50),1,25.63,3.84,25.63,1
2016-09,Pennsylvania,Furniture,60+,High (500-1500),1,887.27,-63.38,887.27,1
2016-09,Pennsylvania,Furniture,60+,Medium (50-500),2,129.49,-7.69,64.75,1
2016-09,Pennsylvania,Office Supplies,18-24,Low (<50),1,16.52,5.37,16.52,1
2016-09,Pennsylvania,Office Supplies,25-34,High (500-1500),1,1141.47,-760.98,1141.47,1
2016-09,Pennsylvania,Office Supplies,35-44,Low (<50),2,17.43,-6.44,8.71,2
2016-09,Pennsylvania,Office Supplies,45-59,Low (<50),2,24.38,7.82,12.19,2
2016-09,Pennsylvania,Office Supplies,60+,Low (<50),4,60.38,17.79,15.1,2
2016-09,Pennsylvania,Technology,25-34,Medium (50-500),1,280.78,-46.8,280.78,1
2016-09,Pennsylvania,Technology,45-59,High (500-1500),1,728.95,-157.94,728.95,1
2016-09,Pennsylvania,Technology,60+,Low (<50),1,23.99,-4.8,23.99,1
2016-09,Rhode Island,Furniture,35-44,High (500-1500),1,872.32,244.25,872.32,1
2016-09,Rhode Island,Office Supplies,18-24,Medium (50-500),1,69.52,17.38,69.52,1
2016-09,Rhode Island,Office Supplies,35-44,Low (<50),2,66.57,31.44,33.28,1
2016-09,Rhode Island,Office Supplies,35-44,Very High (1500+),1,1606.23,481.87,1606.23,1
2016-09,South Carolina,Office Supplies,45-59,Low (<50),1,25.92,12.44,25.92,1
2016-09,Tennessee,Office Supplies,45-59,Medium (50-500),1,67.56,8.44,67.56,1
2016-09,Tennessee,Office Supplies,60+,Low (<50),5,118.46,27.87,23.69,3
2016-09,Tennessee,Office Supplies,60+,Medium (50-500),2,173.23,-54.39,86.61,2
2016-09,Tennessee,Technology,60+,Medium (50-500),2,172.72,12.39,86.36,2
2016-09,Texas,Furniture,35-44,High (500-1500),1,956.66,-225.1,956.66,1
2016-09,Texas,Furniture,35-44,Low (<50),1,21.2,-11.66,21.2,1
2016-09,Texas,Furniture,35-44,Very High (1500+),1,2396.27,-317.15,2396.27,1
2016-09,Texas,Furniture,45-59,Low (<50),1,15.01,-12.01,15.01,1
2016-09,Texas,Furniture,45-59,Medium (50-500),1,347.8,-24.84,347.8,1
2016-09,Texas,Furniture,60+,Medium (50-500),2,755.9,-170.88,377.95,2
2016-09,Texas,Office Supplies,25-34,Low (<50),1,6.82,-11.59,6.82,1
2016-09,Texas,Office Supplies,35-44,Low (<50),1,35.95,3.6,35.95,1
2016-09,Texas,Office Supplies,35-44,Medium (50-500),1,131.14,-32.78,131.14,1
2016-09,Texas,Office Supplies,45-59,Low (<50),4,82.09,-17.97,20.52,4
2016-09,Texas,Office Supplies,45-59,Medium (50-500),2,169.94,39.76,84.97,2
2016-09,Texas,Office Supplies,60+,Low (<50),6,95.23,24.27,15.87,4
2016-09,Texas,Office Supplies,60+,Medium (50-500),4,311.65,-428.09,77.91,4
2016-09,Texas,Technology,35-44,Medium (50-500),1,57.58,0.72,57.58,1
2016-09,Texas,Technology,45-59,Medium (50-500),3,549.1,92.72,183.03,3
2016-09,Texas,Technology,60+,High (500-1500),1,719.96,54.0,719.96,1
2016-09,Virginia,Furniture,35-44,High (500-1500),1,1059.12,307.14,1059.12,1
2016-09,Virginia,Furniture,45-59,Very High (1500+),1,1652.94,314.06,1652.94,1
2016-09,Virginia,Office Supplies,35-44,Low (<50),2,22.43,10.65,11.22,2
2016-09,Virginia,Office Supplies,35-44,Medium (50-500),1,67.9,0.68,67.9,1
2016-09,Virginia,Office Supplies,45-59,Low (<50),1,25.06,11.78,25.06,1
2016-09,Virginia,Technology,35-44,Low (<50),1,20.7,1.66,20.7,1
2016-09,Virginia,Technology,35-44,Very High (1500+),1,1599.92,751.96,1599.92,1
2016-09,Washington,Furniture,25-34,Low (<50),1,43.13,14.66,43.13,1
2016-09,Washington,Furniture,45-59,Medium (50-500),2,329.86,7.27,164.93,2
2016-09,Washington,Furniture,60+,Medium (50-500),2,348.63,20.19,174.32,2
2016-09,Washington,Office Supplies,18-24,Low (<50),3,42.24,17.78,14.08,1
2016-09,Washington,Office Supplies,25-34,Low (<50),4,113.25,45.99,28.31,3
2016-09,Washington,Office Supplies,35-44,Low (<50),1,29.9,14.65,29.9,1
2016-09,Washington,Office Supplies,35-44,Medium (50-500),1,236.88,66.33,236.88,1
2016-09,Washington,Office Supplies,45-59,Low (<50),1,13.68,3.69,13.68,1
2016-09,Washington,Office Supplies,45-59,Medium (50-500),1,65.94,30.99,65.94,1
2016-09,Washington,Office Supplies,60+,Low (<50),5,109.88,39.7,21.98,3
2016-09,Washington,Office Supplies,60+,Medium (50-500),1,81.98,40.17,81.98,1
2016-09,Washington,Technology,35-44,High (500-1500),2,2001.56,575.19,1000.78,2
2016-09,Washington,Technology,35-44,Medium (50-500),1,100.0,21.0,100.0,1
2016-09,Washington,Technology,45-59,Medium (50-500),1,105.58,7.92,105.58,1
2016-09,Wisconsin,Furniture,25-34,Medium (50-500),2,270.6,67.65,135.3,1
2016-09,Wisconsin,Furniture,45-59,Low (<50),1,18.96,7.58,18.96,1
2016-09,Wisconsin,Office Supplies,25-34,Low (<50),1,3.04,1.03,3.04,1
2016-09,Wisconsin,Office Supplies,45-59,Medium (50-500),1,54.5,14.17,54.5,1
2016-09,Wisconsin,Office Supplies,60+,Low (<50),2,10.07,4.53,5.04,1
2016-09,Wisconsin,Technology,25-34,Medium (50-500),1,499.95,174.98,499.95,1
2016-10,Arizona,Furniture,18-24,Medium (50-500),2,477.49,-34.64,238.74,2
2016-10,Arizona,Office Supplies,18-24,Low (<50),1,1.41,0.16,1.41,1
2016-10,Arizona,Office Supplies,60+,Medium (50-500),1,54.79,-40.18,54.79,1
2016-10,California,Furniture,18-24,Low (<50),1,19.96,5.59,19.96,1
2016-10,California,Furniture,18-24,Medium (50-500),1,242.14,12.11,242.14,1
2016-10,California,Furniture,25-34,Medium (50-500),2,315.51,33.47,157.76,2
2016-10,California,Furniture,35-44,Medium (50-500),1,387.14,4.84,387.14,1
2016-10,California,Furniture,45-59,High (500-1500),2,2319.06,173.15,1159.53,2
2016-10,California,Furniture,45-59,Low (<50),1,43.12,20.7,43.12,1
2016-10,California,Office Supplies,18-24,Low (<50),1,12.39,5.7,12.39,1
2016-10,California,Office Supplies,18-24,Medium (50-500),1,340.92,3.41,340.92,1
2016-10,California,Office Supplies,25-34,Low (<50),2,67.7,23.92,33.85,2
2016-10,California,Office Supplies,25-34,Medium (50-500),2,144.02,51.54,72.01,2
2016-10,California,Office Supplies,35-44,High (500-1500),1,1085.42,282.21,1085.42,1
2016-10,California,Office Supplies,35-44,Low (<50),1,19.3,6.03,19.3,1
2016-10,California,Office Supplies,45-59,Low (<50),10,170.06,63.2,17.01,5
2016-10,California,Office Supplies,45-59,Medium (50-500),4,307.01,116.26,76.75,3
2016-10,California,Office Supplies,60+,Low (<50),3,60.74,25.16,20.25,3
2016-10,California,Office Supplies,60+,Medium (50-500),2,216.4,29.43,108.2,1
2016-10,California,Technology,25-34,Medium (50-500),1,302.38,22.68,302.38,1
2016-10,California,Technology,45-59,Medium (50-500),1,450.0,162.0,450.0,1
2016-10,California,Technology,60+,Medium (50-500),3,659.97,128.59,219.99,2
2016-10,Colorado,Furniture,35-44,Medium (50-500),2,211.67,-177.26,105.83,1
2016-10,Colorado,Furniture,60+,High (500-1500),1,727.45,-465.57,727.45,1
2016-10,Colorado,Furniture,60+,Low (<50),1,24.96,4.37,24.96,1
2016-10,Colorado,Office Supplies,60+,Low (<50),2,29.88,-24.1,14.94,1
2016-10,Colorado,Technology,35-44,Low (<50),1,15.99,-3.0,15.99,1
2016-10,Colorado,Technology,60+,High (500-1500),1,703.71,-938.28,703.71,1
2016-10,Colorado,Technology,60+,Medium (50-500),1,67.96,0.85,67.96,1
2016-10,Connecticut,Furniture,25-34,High (500-1500),1,1043.92,271.42,1043.92,1
2016-10,Connecticut,Office Supplies,25-34,Low (<50),2,30.56,10.59,15.28,1
2016-10,Connecticut,Office Supplies,25-34,Medium (50-500),1,104.79,29.34,104.79,1
2016-10,Delaware,Office Supplies,35-44,Low (<50),1,7.92,3.56,7.92,1
2016-10,Florida,Furniture,45-59,Low (<50),3,105.09,26.07,35.03,3
2016-10,Florida,Furniture,45-59,Medium (50-500),2,229.02,41.26,114.51,1
2016-10,Florida,Office Supplies,18-24,Low (<50),1,38.19,-26.73,38.19,1
2016-10,Florida,Office Supplies,25-34,Low (<50),2,36.36,0.54,18.18,1
2016-10,Florida,Office Supplies,45-59,Low (<50),2,66.18,-51.02,33.09,2
2016-10,Florida,Office Supplies,60+,Low (<50),1,32.06,11.22,32.06,1
2016-10,Florida,Technology,18-24,High (500-1500),1,783.96,78.4,783.96,1
2016-10,Florida,Technology,45-59,Medium (50-500),1,52.68,19.76,52.68,1
2016-10,Illinois,Furniture,60+,Low (<50),1,16.16,-12.12,16.16,1
2016-10,Illinois,Office Supplies,18-24,Low (<50),2,33.06,4.13,16.53,1
2016-10,Illinois,Office Supplies,60+,Medium (50-500),1,54.82,17.82,54.82,1
2016-10,Indiana,Furniture,60+,Low (<50),1,41.85,10.88,41.85,1
2016-10,Indiana,Office Supplies,35-44,High (500-1500),1,735.98,331.19,735.98,1
2016-10,Indiana,Office Supplies,35-44,Low (<50),3,100.81,31.22,33.6,1
2016-10,Indiana,Technology,35-44,Very High (1500+),1,17499.95,8399.98,17499.95,1
2016-10,Indiana,Technology,60+,Medium (50-500),1,69.9,18.87,69.9,1
2016-10,Maryland,Furniture,60+,Medium (50-500),1,239.37,-23.94,239.37,1
2016-10,Maryland,Technology,25-34,Medium (50-500),1,98.16,9.82,98.16,1
2016-10,Michigan,Furniture,18-24,Low (<50),1,31.4,10.05,31.4,1
2016-10,Michigan,Furniture,45-59,Medium (50-500),1,67.0,32.16,67.0,1
2016-10,Michigan,Office Supplies,60+,Low (<50),2,32.54,4.96,16.27,2
2016-10,Michigan,Technology,60+,Medium (50-500),2,317.68,87.03,158.84,1
2016-10,Missouri,Office Supplies,18-24,Very High (1500+),1,1927.59,751.76,1927.59,1
2016-10,Missouri,Technology,18-24,Medium (50-500),1,449.97,220.49,449.97,1
2016-10,Nevada,Office Supplies,60+,Low (<50),1,35.88,17.58,35.88,1
2016-10,Nevada,Office Supplies,60+,Medium (50-500),1,113.22,29.44,113.22,1
2016-10,Nevada,Office Supplies,60+,Very High (1500+),1,4535.98,1644.29,4535.98,1
2016-10,New Jersey,Furniture,35-44,Medium (50-500),1,77.6,38.02,77.6,1
2016-10,New Jersey,Furniture,45-59,Medium (50-500),1,120.98,12.1,120.98,1
2016-10,New Jersey,Office Supplies,35-44,High (500-1500),1,1082.48,10.82,1082.48,1
2016-10,New Jersey,Office Supplies,35-44,Low (<50),2,46.68,22.12,23.34,1
2016-10,New Jersey,Office Supplies,35-44,Medium (50-500),1,56.91,27.32,56.91,1
2016-10,New Jersey,Office Supplies,45-59,Medium (50-500),1,315.98,148.51,315.98,1
2016-10,New Jersey,Office Supplies,60+,Low (<50),2,52.41,3.44,26.2,1
2016-10,New York,Furniture,25-34,Medium (50-500),1,427.64,80.78,427.64,1
2016-10,New York,Furniture,35-44,Low (<50),1,40.2,19.3,40.2,1
2016-10,New York,Furniture,35-44,Medium (50-500),2,472.77,-153.62,236.38,2
2016-10,New York,Furniture,45-59,Medium (50-500),1,82.26,33.73,82.26,1
2016-10,New York,Furniture,60+,High (500-1500),2,1356.09,168.9,678.05,2
2016-10,New York,Office Supplies,25-34,Low (<50),3,83.88,17.23,27.96,1
2016-10,New York,Office Supplies,35-44,Medium (50-500),3,552.8,249.77,184.27,3
2016-10,New York,Office Supplies,45-59,Low (<50),4,109.96,47.37,27.49,2
2016-10,New York,Office Supplies,45-59,Medium (50-500),1,99.87,23.97,99.87,1
2016-10,New York,Office Supplies,60+,Low (<50),1,28.75,10.06,28.75,1
2016-10,New York,Office Supplies,60+,Medium (50-500),1,114.95,32.19,114.95,1
2016-10,New York,Technology,35-44,High (500-1500),1,1091.93,272.98,1091.93,1
2016-10,North Carolina,Furniture,60+,Medium (50-500),1,102.59,10.26,102.59,1
2016-10,North Carolina,Office Supplies,35-44,Low (<50),1,17.62,-14.09,17.62,1
2016-10,North Carolina,Office Supplies,35-44,Medium (50-500),1,387.72,-67.85,387.72,1
2016-10,North Carolina,Office Supplies,60+,Low (<50),5,111.63,22.14,22.33,2
2016-10,North Carolina,Office Supplies,60+,Medium (50-500),1,93.02,33.72,93.02,1
2016-10,North Carolina,Technology,60+,Low (<50),1,22.7,5.96,22.7,1
2016-10,Ohio,Furniture,60+,High (500-1500),1,661.18,-231.41,661.18,1
2016-10,Ohio,Office Supplies,45-59,Low (<50),1,7.15,0.72,7.15,1
2016-10,Ohio,Technology,35-44,Low (<50),1,23.98,-15.58,23.98,1
2016-10,Ohio,Technology,35-44,Medium (50-500),1,235.15,-47.03,235.15,1
2016-10,Oklahoma,Furniture,60+,Medium (50-500),1,368.97,81.17,368.97,1
2016-10,Oklahoma,Office Supplies,25-34,High (500-1500),1,868.59,251.89,868.59,1
2016-10,Oklahoma,Office Supplies,25-34,Low (<50),4,91.43,44.96,22.86,2
2016-10,Oklahoma,Office Supplies,25-34,Medium (50-500),1,121.6,55.94,121.6,1
2016-10,Oklahoma,Office Supplies,60+,Low (<50),2,34.35,9.62,17.18,1
2016-10,Oklahoma,Office Supplies,60+,Medium (50-500),1,332.94,9.99,332.94,1
2016-10,Oklahoma,Technology,25-34,Low (<50),1,5.5,1.38,5.5,1
2016-10,Pennsylvania,Furniture,18-24,Medium (50-500),1,332.83,-24.96,332.83,1
2016-10,Pennsylvania,Furniture,45-59,Medium (50-500),1,492.84,-14.08,492.84,1
2016-10,Pennsylvania,Office Supplies,18-24,Low (<50),2,24.06,7.7,12.03,2
2016-10,Rhode Island,Office Supplies,35-44,Low (<50),1,30.4,13.98,30.4,1
2016-10,Rhode Island,Office Supplies,35-44,Medium (50-500),1,119.1,34.54,119.1,1
2016-10,Rhode Island,Technology,35-44,Very High (1500+),1,5399.91,2591.96,5399.91,1
2016-10,Tennessee,Office Supplies,35-44,Medium (50-500),1,111.67,6.98,111.67,1
2016-10,Tennessee,Technology,45-59,Medium (50-500),1,239.98,18.0,239.98,1
2016-10,Texas,Furniture,25-34,Low (<50),1,38.08,-29.51,38.08,1
2016-10,Texas,Furniture,25-34,Medium (50-500),1,56.69,-14.58,56.69,1
2016-10,Texas,Furniture,35-44,Low (<50),1,14.0,-6.3,14.0,1
2016-10,Texas,Furniture,35-44,Medium (50-500),1,139.92,-150.41,139.92,1
2016-10,Texas,Furniture,45-59,Medium (50-500),1,51.71,-32.32,51.71,1
2016-10,Texas,Office Supplies,18-24,Medium (50-500),1,60.14,20.3,60.14,1
2016-10,Texas,Office Supplies,25-34,Low (<50),1,25.25,7.89,25.25,1
2016-10,Texas,Office Supplies,25-34,Medium (50-500),1,51.02,15.94,51.02,1
2016-10,Texas,Office Supplies,35-44,Low (<50),4,46.84,-33.03,11.71,2
2016-10,Texas,Office Supplies,45-59,Low (<50),2,31.2,10.53,15.6,2
2016-10,Texas,Office Supplies,60+,Low (<50),1,28.35,9.57,28.35,1
2016-10,Texas,Office Supplies,60+,Medium (50-500),1,59.75,19.42,59.75,1
2016-10,Texas,Technology,35-44,Medium (50-500),2,298.06,14.72,149.03,2
2016-10,Texas,Technology,60+,Medium (50-500),1,79.51,20.87,79.51,1
2016-10,Utah,Office Supplies,60+,Low (<50),2,87.4,34.05,43.7,1
2016-10,Utah,Office Supplies,60+,Medium (50-500),2,131.72,61.79,65.86,1
2016-10,Virginia,Furniture,25-34,Medium (50-500),1,290.98,75.65,290.98,1
2016-10,Virginia,Furniture,45-59,Low (<50),1,39.92,11.18,39.92,1
2016-10,Virginia,Furniture,45-59,Medium (50-500),1,61.1,18.33,61.1,1
2016-10,Virginia,Office Supplies,35-44,Low (<50),1,43.26,14.28,43.26,1
2016-10,Virginia,Office Supplies,35-44,Medium (50-500),2,299.5,149.08,149.75,1
2016-10,Washington,Furniture,60+,Medium (50-500),1,101.94,30.58,101.94,1
2016-10,Washington,Office Supplies,18-24,Low (<50),1,17.05,8.18,17.05,1
2016-10,Washington,Office Supplies,45-59,Medium (50-500),1,93.36,0.93,93.36,1
2016-10,Washington,Office Supplies,60+,Low (<50),2,15.02,5.46,7.51,1
2016-10,Washington,Technology,25-34,Medium (50-500),1,177.0,30.09,177.0,1
2016-10,Washington,Technology,45-59,High (500-1500),1,837.6,62.82,837.6,1
2016-10,Wisconsin,Technology,60+,Very High (1500+),1,1649.75,544.42,1649.75,1
2016-11,Alabama,Office Supplies,18-24,Low (<50),1,33.75,16.88,33.75,1
2016-11,Alabama,Office Supplies,18-24,Medium (50-500),2,162.66,80.62,81.33,1
2016-11,Alabama,Office Supplies,45-59,Medium (50-500),1,73.36,19.81,73.36,1
2016-11,Alabama,Technology,18-24,Very High (1500+),1,3040.0,1459.2,3040.0,1
2016-11,Alabama,Technology,45-59,High (500-1500),1,1319.96,527.98,1319.96,1
2016-11,Arizona,Office Supplies,18-24,Low (<50),2,10.64,-7.95,5.32,1
2016-11,Arizona,Office Supplies,45-59,Low (<50),1,39.81,3.98,39.81,1
2016-11,Arizona,Technology,18-24,Low (<50),1,31.98,2.0,31.98,1
2016-11,Arizona,Technology,60+,Medium (50-500),1,271.99,23.8,271.99,1
2016-11,Arkansas,Technology,18-24,Medium (50-500),1,59.98,17.99,59.98,1
2016-11,California,Furniture,18-24,High (500-1500),1,595.38,297.69,595.38,1
2016-11,California,Furniture,18-24,Low (<50),1,14.82,6.22,14.82,1
2016-11,California,Furniture,18-24,Very High (1500+),1,3406.66,160.31,3406.66,1
2016-11,California,Furniture,25-34,High (500-1500),1,674.35,-8.43,674.35,1
2016-11,California,Furniture,25-34,Medium (50-500),1,467.46,191.66,467.46,1
2016-11,California,Furniture,35-44,Low (<50),2,48.23,19.55,24.12,2
2016-11,California,Furniture,45-59,Low (<50),1,9.98,2.79,9.98,1
2016-11,California,Furniture,45-59,Medium (50-500),4,651.46,-2.87,162.86,3
2016-11,California,Furniture,45-59,Very High (1500+),1,1684.75,210.59,1684.75,1
2016-11,California,Furniture,60+,Low (<50),2,48.92,13.14,24.46,2
2016-11,California,Furniture,60+,Medium (50-500),2,645.5,19.44,322.75,2
2016-11,California,Office Supplies,18-24,Low (<50),6,156.68,48.94,26.11,4
2016-11,California,Office Supplies,18-24,Medium (50-500),1,64.96,19.49,64.96,1
2016-11,California,Office Supplies,25-34,High (500-1500),1,720.76,187.4,720.76,1
2016-11,California,Office Supplies,25-34,Low (<50),11,212.1,79.56,19.28,5
2016-11,California,Office Supplies,25-34,Medium (50-500),5,689.86,308.3,137.97,2
2016-11,California,Office Supplies,35-44,High (500-1500),1,1016.79,381.3,1016.79,1
2016-11,California,Office Supplies,35-44,Low (<50),1,38.14,13.35,38.14,1
2016-11,California,Office Supplies,45-59,High (500-1500),1,1101.48,429.58,1101.48,1
2016-11,California,Office Supplies,45-59,Low (<50),6,151.92,56.01,25.32,3
2016-11,California,Office Supplies,45-59,Medium (50-500),7,677.6,246.47,96.8,6
2016-11,California,Office Supplies,60+,Low (<50),4,103.74,33.57,25.94,4
2016-11,California,Office Supplies,60+,Medium (50-500),3,311.5,98.22,103.83,3
2016-11,California,Technology,25-34,Medium (50-500),2,683.95,188.69,341.97,2
2016-11,California,Technology,35-44,Low (<50),1,33.52,3.35,33.52,1
2016-11,California,Technology,35-44,Medium (50-500),1,99.39,40.75,99.39,1
2016-11,California,Technology,45-59,High (500-1500),3,1814.82,503.34,604.94,2
2016-11,California,Technology,45-59,Medium (50-500),4,577.52,75.21,144.38,4
2016-11,California,Technology,60+,High (500-1500),1,686.4,77.22,686.4,1
2016-11,California,Technology,60+,Low (<50),1,27.88,3.9,27.88,1
2016-11,California,Technology,60+,Medium (50-500),1,479.97,177.59,479.97,1
2016-11,Connecticut,Office Supplies,25-34,Low (<50),1,13.36,6.41,13.36,1
2016-11,Connecticut,Office Supplies,35-44,Low (<50),1,7.16,3.44,7.16,1
2016-11,Connecticut,Technology,25-34,Medium (50-500),1,59.97,14.99,59.97,1
2016-11,Delaware,Furniture,25-34,Low (<50),1,19.92,6.57,19.92,1
2016-11,Delaware,Office Supplies,25-34,Low (<50),1,16.45,7.57,16.45,1
2016-11,Delaware,Office Supplies,35-44,Medium (50-500),1,128.4,62.92,128.4,1
